time_s,vEgo,aEgo,vEgoRaw,standstill,steeringAngleDeg,steeringTorque,steeringPressed,gas,gasPressed,brake,brakePressed,cruiseState_enabled,cruiseState_available,cruiseState_speed,cc_enabled,cc_latActive,cc_longActive,leftBlinker,rightBlinker,actuators_accel,actuators_torque,actuators_speed,actuators_curvature,co_accel,co_brake,co_gas,co_steer,co_steeringAngleDeg,co_curvature,cs_enabled,cs_active,cs_curvature,cs_desiredCurvature,cs_vCruise,cs_longControlState,cs_forceDecel
0.500000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.510000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.520000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.530000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.540000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.550000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.560000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.570000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.580000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.590000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.600000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.610000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.620000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.630000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.640000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.650000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.660000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.670000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.680000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.690000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.700000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.710000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.720000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.730000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.740000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.750000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.760000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.770000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.780000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.790000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.800000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.810000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.820000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.830000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
