method,feature,target,correlation,n
pearson,vEgoRaw__std,longitudinal_smoothness_score,0.24828223694757656,31
pearson,vEgoRaw__std,lateral_stability_score,0.2531263413210013,31
pearson,standstill__mean,reaction_smoothness_score,,31
pearson,standstill__mean,steering_smoothness_score,,31
pearson,standstill__mean,longitudinal_smoothness_score,,31
pearson,standstill__mean,lateral_stability_score,,31
pearson,standstill__max,reaction_smoothness_score,,31
pearson,standstill__max,steering_smoothness_score,,31
pearson,standstill__max,longitudinal_smoothness_score,,31
pearson,standstill__max,lateral_stability_score,,31
pearson,standstill__std,reaction_smoothness_score,,31
pearson,standstill__std,steering_smoothness_score,,31
pearson,standstill__std,longitudinal_smoothness_score,,31
pearson,standstill__std,lateral_stability_score,,31
pearson,steeringAngleDeg__mean,reaction_smoothness_score,,31
pearson,steeringAngleDeg__mean,steering_smoothness_score,0.0707226131087429,31
pearson,steeringAngleDeg__mean,longitudinal_smoothness_score,0.06857105701919533,31
pearson,steeringAngleDeg__mean,lateral_stability_score,0.02237183927033777,31
pearson,steeringAngleDeg__max,reaction_smoothness_score,,31
pearson,steeringAngleDeg__max,steering_smoothness_score,-0.20052071834363097,31
pearson,steeringAngleDeg__max,longitudinal_smoothness_score,0.22636640442602693,31
pearson,steeringAngleDeg__max,lateral_stability_score,-0.030468096606721465,31
pearson,steeringAngleDeg__std,reaction_smoothness_score,,31
pearson,steeringAngleDeg__std,steering_smoothness_score,-0.26840597434693264,31
pearson,steeringAngleDeg__std,longitudinal_smoothness_score,0.2785069569283939,31
pearson,steeringAngleDeg__std,lateral_stability_score,-0.04458007057974852,31
pearson,steeringTorque__mean,reaction_smoothness_score,,31
pearson,steeringTorque__mean,steering_smoothness_score,0.029384835787037506,31
pearson,steeringTorque__mean,longitudinal_smoothness_score,0.07000071181557496,31
pearson,steeringTorque__mean,lateral_stability_score,-0.12571944768172547,31
pearson,steeringTorque__max,reaction_smoothness_score,,31
pearson,steeringTorque__max,steering_smoothness_score,-0.08917805051336833,31
pearson,steeringTorque__max,longitudinal_smoothness_score,0.26575773253185203,31
pearson,steeringTorque__max,lateral_stability_score,-0.2592991560541641,31
pearson,steeringTorque__std,reaction_smoothness_score,,31
pearson,steeringTorque__std,steering_smoothness_score,-0.029936261006021855,31
pearson,steeringTorque__std,longitudinal_smoothness_score,0.24470367030436085,31
pearson,steeringTorque__std,lateral_stability_score,-0.26137240157277547,31
pearson,gas__mean,reaction_smoothness_score,,31
pearson,gas__mean,steering_smoothness_score,-0.38642560580790525,31
pearson,gas__mean,longitudinal_smoothness_score,-0.02824459690112724,31
pearson,gas__mean,lateral_stability_score,0.07902661447959196,31
pearson,gas__max,reaction_smoothness_score,,31
pearson,gas__max,steering_smoothness_score,-0.3771913384877149,31
pearson,gas__max,longitudinal_smoothness_score,-0.03702993749962862,31
pearson,gas__max,lateral_stability_score,0.0780557313372634,31
pearson,gas__std,reaction_smoothness_score,,31
pearson,gas__std,steering_smoothness_score,-0.20572796264171525,31
pearson,gas__std,longitudinal_smoothness_score,-0.14690627316349567,31
pearson,gas__std,lateral_stability_score,0.05486318929913151,31
pearson,brake__mean,reaction_smoothness_score,,31
pearson,brake__mean,steering_smoothness_score,0.04736536984140868,31
pearson,brake__mean,longitudinal_smoothness_score,0.11152107117633632,31
pearson,brake__mean,lateral_stability_score,0.01452564553853033,31
pearson,brake__max,reaction_smoothness_score,,31
pearson,brake__max,steering_smoothness_score,0.13933586618592753,31
pearson,brake__max,longitudinal_smoothness_score,-0.17448623924224965,31
pearson,brake__max,lateral_stability_score,0.0341712955839036,31
pearson,brake__std,reaction_smoothness_score,,31
pearson,brake__std,steering_smoothness_score,0.1308046873131239,31
pearson,brake__std,longitudinal_smoothness_score,0.003595606731655553,31
pearson,brake__std,lateral_stability_score,0.04631122252161168,31
pearson,leadOne_dRel__mean,reaction_smoothness_score,,31
pearson,leadOne_dRel__mean,steering_smoothness_score,-0.13694084057233877,31
pearson,leadOne_dRel__mean,longitudinal_smoothness_score,-0.06530358932377779,31
pearson,leadOne_dRel__mean,lateral_stability_score,-0.04161381469672181,31
pearson,leadOne_dRel__max,reaction_smoothness_score,,31
pearson,leadOne_dRel__max,steering_smoothness_score,-0.29948262053223756,31
pearson,leadOne_dRel__max,longitudinal_smoothness_score,-0.10975844557432592,31
pearson,leadOne_dRel__max,lateral_stability_score,-0.028886702547510607,31
pearson,leadOne_dRel__std,reaction_smoothness_score,,31
pearson,leadOne_dRel__std,steering_smoothness_score,-0.48218741986384595,31
pearson,leadOne_dRel__std,longitudinal_smoothness_score,0.041164599334455446,31
pearson,leadOne_dRel__std,lateral_stability_score,0.09633158814618373,31
pearson,leadOne_vRel__mean,reaction_smoothness_score,,31
pearson,leadOne_vRel__mean,steering_smoothness_score,0.02942239698614448,31
pearson,leadOne_vRel__mean,longitudinal_smoothness_score,0.001178536710235239,31
pearson,leadOne_vRel__mean,lateral_stability_score,-0.03068757435500394,31
pearson,leadOne_vRel__max,reaction_smoothness_score,,31
pearson,leadOne_vRel__max,steering_smoothness_score,0.03508609639313442,31
pearson,leadOne_vRel__max,longitudinal_smoothness_score,-0.06753588569099696,31
pearson,leadOne_vRel__max,lateral_stability_score,0.07026132689554304,31
pearson,leadOne_vRel__std,reaction_smoothness_score,,31
pearson,leadOne_vRel__std,steering_smoothness_score,-0.059501339634771236,31
pearson,leadOne_vRel__std,longitudinal_smoothness_score,-0.026529376138344506,31
pearson,leadOne_vRel__std,lateral_stability_score,0.15098213080575335,31
pearson,leadOne_aRel__mean,reaction_smoothness_score,,31
pearson,leadOne_aRel__mean,steering_smoothness_score,,31
pearson,leadOne_aRel__mean,longitudinal_smoothness_score,,31
pearson,leadOne_aRel__mean,lateral_stability_score,,31
pearson,leadOne_aRel__max,reaction_smoothness_score,,31
pearson,leadOne_aRel__max,steering_smoothness_score,,31
pearson,leadOne_aRel__max,longitudinal_smoothness_score,,31
pearson,leadOne_aRel__max,lateral_stability_score,,31
pearson,leadOne_aRel__std,reaction_smoothness_score,,31
pearson,leadOne_aRel__std,steering_smoothness_score,,31
pearson,leadOne_aRel__std,longitudinal_smoothness_score,,31
pearson,leadOne_aRel__std,lateral_stability_score,,31
pearson,leadOne_yRel__mean,reaction_smoothness_score,,31
pearson,leadOne_yRel__mean,steering_smoothness_score,-0.04475390943504882,31
pearson,leadOne_yRel__mean,longitudinal_smoothness_score,-0.1924232713115241,31
pearson,leadOne_yRel__mean,lateral_stability_score,0.0069950441888001124,31
pearson,leadOne_yRel__max,reaction_smoothness_score,,31
pearson,leadOne_yRel__max,steering_smoothness_score,-0.07400275487461644,31
pearson,leadOne_yRel__max,longitudinal_smoothness_score,-0.19968630867399625,31
pearson,leadOne_yRel__max,lateral_stability_score,-0.002462427349534416,31
pearson,leadOne_yRel__std,reaction_smoothness_score,,31
pearson,leadOne_yRel__std,steering_smoothness_score,0.0527928193732116,31
pearson,leadOne_yRel__std,longitudinal_smoothness_score,-0.10171855026988348,31
pearson,leadOne_yRel__std,lateral_stability_score,0.0653512173281368,31
pearson,leadTwo_dRel__mean,reaction_smoothness_score,,31
pearson,leadTwo_dRel__mean,steering_smoothness_score,-0.14583004428024365,31
pearson,leadTwo_dRel__mean,longitudinal_smoothness_score,-0.07397550019677865,31
pearson,leadTwo_dRel__mean,lateral_stability_score,-0.03638289211614591,31
pearson,leadTwo_dRel__max,reaction_smoothness_score,,31
pearson,leadTwo_dRel__max,steering_smoothness_score,-0.2861891042660045,31
pearson,leadTwo_dRel__max,longitudinal_smoothness_score,-0.12398837698761266,31
pearson,leadTwo_dRel__max,lateral_stability_score,-0.007669631452723549,31
pearson,leadTwo_dRel__std,reaction_smoothness_score,,31
pearson,leadTwo_dRel__std,steering_smoothness_score,-0.4521734019482381,31
pearson,leadTwo_dRel__std,longitudinal_smoothness_score,0.0049966862107554836,31
pearson,leadTwo_dRel__std,lateral_stability_score,0.11946274337172014,31
pearson,leadTwo_vRel__mean,reaction_smoothness_score,,31
pearson,leadTwo_vRel__mean,steering_smoothness_score,0.027179636637635906,31
pearson,leadTwo_vRel__mean,longitudinal_smoothness_score,-0.02159722819948443,31
pearson,leadTwo_vRel__mean,lateral_stability_score,-0.012408797092388289,31
pearson,leadTwo_vRel__max,reaction_smoothness_score,,31
pearson,leadTwo_vRel__max,steering_smoothness_score,0.017531627744414798,31
pearson,leadTwo_vRel__max,longitudinal_smoothness_score,-0.1063737294401636,31
pearson,leadTwo_vRel__max,lateral_stability_score,0.10378047640042652,31
pearson,leadTwo_vRel__std,reaction_smoothness_score,,31
pearson,leadTwo_vRel__std,steering_smoothness_score,-0.05434352552940227,31
pearson,leadTwo_vRel__std,longitudinal_smoothness_score,-0.05961202200106929,31
pearson,leadTwo_vRel__std,lateral_stability_score,0.16858896998812342,31
pearson,leadTwo_aRel__mean,reaction_smoothness_score,,31
pearson,leadTwo_aRel__mean,steering_smoothness_score,,31
pearson,leadTwo_aRel__mean,longitudinal_smoothness_score,,31
pearson,leadTwo_aRel__mean,lateral_stability_score,,31
pearson,leadTwo_aRel__max,reaction_smoothness_score,,31
pearson,leadTwo_aRel__max,steering_smoothness_score,,31
pearson,leadTwo_aRel__max,longitudinal_smoothness_score,,31
pearson,leadTwo_aRel__max,lateral_stability_score,,31
pearson,leadTwo_aRel__std,reaction_smoothness_score,,31
pearson,leadTwo_aRel__std,steering_smoothness_score,,31
pearson,leadTwo_aRel__std,longitudinal_smoothness_score,,31
pearson,leadTwo_aRel__std,lateral_stability_score,,31
pearson,leadTwo_yRel__mean,reaction_smoothness_score,,31
pearson,leadTwo_yRel__mean,steering_smoothness_score,-0.04880738501592449,31
pearson,leadTwo_yRel__mean,longitudinal_smoothness_score,-0.19810728793750298,31
pearson,leadTwo_yRel__mean,lateral_stability_score,0.008970684595305641,31
pearson,leadTwo_yRel__max,reaction_smoothness_score,,31
pearson,leadTwo_yRel__max,steering_smoothness_score,-0.08404449716269119,31
pearson,leadTwo_yRel__max,longitudinal_smoothness_score,-0.20638432252591601,31
pearson,leadTwo_yRel__max,lateral_stability_score,-0.0038820697996644086,31
